transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,transaction_qty,unit_price,product_category,product_type,product_detail,Size,Total Bill,Month Name,Day Name,Hour,Day of Week,Month
114301,6/1/2023,11:33:29 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,11,4,6
115405,6/2/2023,11:18:24 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,11,5,6
115478,6/2/2023,12:02:45 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,12,5,6
116288,6/2/2023,7:39:47 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,19,5,6
116714,6/3/2023,12:24:57 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Saturday,12,6,6
116739,6/3/2023,12:44:17 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Saturday,12,6,6
116853,6/3/2023,1:58:14 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Saturday,13,6,6
117389,6/3/2023,6:57:29 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Saturday,18,6,6
118056,6/4/2023,2:31:43 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,14,0,6
118281,6/4/2023,4:30:33 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,16,0,6
118428,6/4/2023,5:53:30 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,17,0,6
118913,6/5/2023,12:01:03 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Monday,12,1,6
119196,6/5/2023,2:19:59 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Monday,14,1,6
119240,6/5/2023,2:42:16 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Monday,14,1,6
119351,6/5/2023,3:51:35 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Monday,15,1,6
119444,6/5/2023,4:52:40 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Monday,16,1,6
119692,6/5/2023,7:51:09 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Monday,19,1,6
121279,6/7/2023,10:16:40 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,10,3,6
121416,6/7/2023,10:59:19 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,10,3,6
121493,6/7/2023,12:01:18 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,12,3,6
121656,6/7/2023,3:05:47 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,15,3,6
121709,6/7/2023,4:17:25 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,16,3,6
121876,6/7/2023,7:56:37 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,19,3,6
122518,6/8/2023,11:09:47 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,11,4,6
122622,6/8/2023,12:09:57 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,12,4,6
122818,6/8/2023,3:00:40 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,15,4,6
122954,6/8/2023,4:58:47 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,16,4,6
123152,6/8/2023,7:54:56 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,19,4,6
123465,6/9/2023,8:39:35 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,8,5,6
123499,6/9/2023,8:55:36 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,8,5,6
123540,6/9/2023,9:10:06 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,9,5,6
123603,6/9/2023,9:32:40 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,9,5,6
123972,6/9/2023,12:04:39 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Friday,12,5,6
125324,6/10/2023,2:03:46 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Saturday,14,6,6
126049,6/11/2023,9:10:48 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,9,0,6
126086,6/11/2023,9:26:48 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,9,0,6
126107,6/11/2023,9:32:07 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,9,0,6
126787,6/11/2023,7:17:53 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Sunday,19,0,6
128042,6/13/2023,7:33:17 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Tuesday,7,2,6
128558,6/13/2023,10:02:57 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Tuesday,10,2,6
128752,6/13/2023,10:56:47 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Tuesday,10,2,6
128923,6/13/2023,2:16:08 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Tuesday,14,2,6
129043,6/13/2023,4:14:54 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Tuesday,16,2,6
129136,6/13/2023,5:45:45 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Tuesday,17,2,6
129369,6/14/2023,8:17:01 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,8,3,6
129437,6/14/2023,8:30:02 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,8,3,6
129888,6/14/2023,10:20:10 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,10,3,6
130181,6/14/2023,2:16:04 PM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Wednesday,14,3,6
130620,6/15/2023,7:39:31 AM,3,Astoria,45,1,3,Tea,Brewed herbal tea,Peppermint,Large,3,June,Thursday,7,4,6
